"text","label"
"ada kecelakaan kerja di area produksi mesin mati","Emergency"
"aduh","Emergency"
"anda","Emergency"
"anda dimana","Emergency"
"antarkan dia","Emergency"
"apa","Emergency"
"apa","Emergency"
"apa","Emergency"
"awas","Emergency"
"baik kami akan kirim bantuan segera","Emergency"
"baik kami akan kirim bantuan segera","Emergency"
"bantu dia","Emergency"
"bantu saya","Emergency"
"bantuan","Emergency"
"bawa ke rumah sakit","Emergency"
"bawa ke rumah sakit","Emergency"
"bisa saya bantu","Emergency"
"butuh bantuan","Emergency"
"cepat bantu","Emergency"
"darurat","Emergency"
"dia kesakitan","Emergency"
"dia terluka","Emergency"
"help","Emergency"
"hubungi ambulance","Emergency"
"kaki saya sakit","Emergency"
"kamu sakit apa","Emergency"
"kamu sakit apa","Emergency"
"kamu terluka","Emergency"
"kenapa","Emergency"
"kirim bantuan","Emergency"
"lukanya parah","Emergency"
"panggil bantuan","Emergency"
"panggil polisi","Emergency"
"pergi dari sana","Emergency"
"pergi dari sana","Emergency"
"rencananya berangkat jam berapa","Emergency"
"sakit","Emergency"
"sakit sekali","Emergency"
"sangat sakir","Emergency"
"saya butuh bantuan medis segera ada yang pingsan","Emergency"
"saya minta tolong","Emergency"
"segera bantu","Emergency"
"tangaku terluka","Emergency"
"terima kasih","Emergency"
"tolong","Emergency"
"tolong ada kebakaran di gudang sebelah timur","Emergency"
"tolong dia","Emergency"
"tolong saya","Emergency"
"ada","Normal"
"alamat","Normal"
"alamat mereka dimana","Normal"
"apakah","Normal"
"baik","Normal"
"belas","Normal"
"berangkat","Normal"
"berangkat jam berapa","Normal"
"berapa","Normal"
"di","Normal"
"dibantu","Normal"
"dimana alamat anda","Normal"
"dimana alamat mereka","Normal"
"halo","Normal"
"halo selamat pagi","Normal"
"halo selamat siang","Normal"
"harga tiket kereta tujuh puluh lima ribu rupiah","Normal"
"harga tiket pesawat satu juta tujuh ratus lima puluh ribu rupiah","Normal"
"harga tiketnya satu juta tujuh ratus lima puluh ribu rupiah","Normal"
"harganya satu juta tujuh ratus lima puluh ribu rupiah","Normal"
"hari ini cuaca cukup cerah untuk bekerja","Normal"
"hubungi","Normal"
"ini","Normal"
"jam","Normal"
"kalau perlu bantuan hubungi saya di dua kosong satu dua dua empat lima","Normal"
"kalau perlu bantuan hubungi saya ke empat tujuh lima kosong dua empat enam enam","Normal"
"kami","Normal"
"kami kirim bantuan segera","Normal"
"kamu","Normal"
"kantor","Normal"
"ke","Normal"
"kenapa tidak masuk","Normal"
"kenapa tidak masuk kantor","Normal"
"kenapa tidak masuk sekolah","Normal"
"kirim","Normal"
"pesawat","Normal"
"ratus","Normal"
"rencananya","Normal"
"sakit","Normal"
"saya kirim bantuan segera","Normal"
"selamat pagi rekan semua silakan absen","Normal"
"siang","Normal"
"tanggal","Normal"
"terima","Normal"
"tiketnya","Normal"
"tiketnya satu juta tujuh ratus lima puluh ribu rupiah","Normal"
"untuk","Normal"
"untuk jam berapa","Normal"
